State   ,WIC participants FY 2009,WIC participants FY 2011,"WIC participants, FY 2012","WIC participants, FY 2013","WIC participants, FY 2014",National School Lunch Program participants FY 2009,National School Lunch Program participants FY 2011,"National School Lunch Program participants, FY 2012","National School Lunch Program participants, FY 2013","National School Lunch Program participants, FY 2014",School Breakfast Program participants FY 2009,School Breakfast Program participants FY 2011,"School Breakfast Program participants, FY 2012","School Breakfast Program participants, FY 2013","School Breakfast Program participants, FY 2014",Child and Adult Care particpants FY 2009,Child and Adult Care particpants FY 2011,"Child and Adult Care participants, FY 2012","Child and Adult Care participants, FY 2013","Child and Adult Care participants, FY 2014",Summer Food particpants FY 2009,Summer Food participants FY 2011,"Summer Food participants, FY 2012","Summer Food participants, FY 2013","Summer Food participants, FY 2014","State Population, 2008","State Population, 2009","State Population, 2010","State Population,  2011","State Population, 2012","State Population,  2013","State Population,  2014"
Oregon,"113,248","111,534","111,648","107,859","103,227","310,817","312,828","307,110","293,389","287,023","138,831","139,962","142,435","139,699","138,189","40,901","45,795","46,211","44,570","44,038","36,567","42,278","40,815","38,653","41,370","3,782,991","3,825,657","3,838,332","3,871,859","3,899,801","3,930,065","3,970,239"
Pennsylvania,"260,879","257,911","253,011","253,258","248,764","1,150,819","1,153,645","1,127,444","1,066,004","1,032,202","291,249","329,570","343,390","345,322","341,586","123,430","135,534","138,874","135,342","123,456","100,190","97,422","103,651","96,893","75,259","12,566,368","12,604,767","12,717,722","12,742,886","12,764,475","12,773,801","12,787,209"
Rhode Island,"25,676","24,501","24,261","23,416","22,139","79,017","79,006","79,747","77,353","76,897","23,418","27,664","32,981","32,531","32,855","9,366","9,453","9,372","9,192","9,507","6,785","6,820","8,221","8,188","8,200","1,053,502","1,053,209","1,052,528","1,051,302","1,050,304","1,051,511","1,055,173"
South Carolina,"134,753","130,647","130,525","124,287","113,179","500,742","497,669","493,488","478,107","473,907","249,443","261,877","272,470","273,431","270,246","33,541","33,507","33,470","35,514","34,698","55,205","45,229","56,178","56,172","70,097","4,503,280","4,561,242","4,637,106","4,679,230","4,723,417","4,774,839","4,832,482"
South Dakota,"22,962","22,583","22,153","20,430","19,572","106,266","108,289","107,367","106,252","106,848","25,475","27,253","27,503","28,026","27,947","13,428","14,807","14,751","14,372","13,683","4,459","4,550","5,518","6,060","5,891","804,532","812,383","816,598","824,082","834,047","844,877","853,175"
Tennessee,"174,832","161,578","162,775","159,426","153,742","692,008","697,665","687,452","656,847","647,468","280,464","310,063","333,403","350,108","359,155","60,067","65,110","68,258","70,152","63,019","28,843","28,574","32,493","42,283","41,931","6,240,456","6,296,254","6,357,436","6,403,353","6,454,914","6,495,978","6,549,352"
Texas,"992,454","993,498","969,893","955,072","916,461","3,254,249","3,401,746","3,374,154","3,314,611","3,313,412","1,528,878","1,744,587","1,786,414","1,818,710","1,856,248","303,520","307,976","351,922","364,371","388,803","183,501","173,243","176,587","180,355","177,981","24,304,290","24,782,302","25,253,466","25,674,681","26,060,796","26,448,193","26,956,958"
Utah,"72,535","73,049","69,641","66,726","61,259","337,710","350,494","348,886","331,693","329,430","66,483","73,494","74,580","74,310","74,830","28,063","31,285","31,560","32,526","32,051","16,822","14,777","13,670","13,186","11,015","2,727,343","2,784,572","2,775,479","2,817,222","2,854,871","2,900,872","2,942,902"
Vermont,"17,496","15,913","15,471","14,836","14,227","54,859","54,919","54,209","51,537","50,407","21,409","22,633","23,523","22,926","22,851","7,134","7,630","7,914","9,011","9,308","2,964","4,131","6,556","6,654","6,941","621,049","621,760","625,909","626,431","625,953","626,630","626,562"
Virginia,"160,150","156,085","159,137","155,935","144,550","752,709","756,503","749,115","717,618","710,834","234,396","253,730","271,107","272,470","274,602","58,915","67,736","70,997","65,338","54,000","51,798","58,006","54,339","55,519","52,559","7,795,424","7,882,590","8,023,953","8,096,604","8,186,628","8,260,405","8,326,289"
